KevLeo94,2019-03-22 08:50:23,b'@midogumelar Cok fathan nang pln gresik. Kapan metu bareng'
KevLeo94,2019-03-22 04:16:25,b'@midogumelar Nub bgst'
KevLeo94,2019-03-22 03:34:13,b'@midogumelar Cok aku wisudawan e'
KevLeo94,2019-03-22 02:52:36,b'@midogumelar Teko next sps lek merasa gak cuki'
KevLeo94,2019-03-20 04:51:00,b'RT @Iwa_Kusuma: stop being afraid of\nother religions\n\nstop being afraid of\nother cultures\n\nstop being afraid of\nof other nations\n\nstop bein\xe2\x80\xa6'
KevLeo94,2019-03-20 04:50:32,b'RT @auravanova: this van gogh exhibition is soooo cooolll... \xf0\x9f\x98\xb1 https://t.co/9tntVYy6Mt'
KevLeo94,2019-03-20 04:46:25,"b'RT @Uki23: Dear anggota DPR, anda itu digaji untuk mewakili rakyat. Rapat paripurna adalah mekanisme penyuaraan aspirasi rakyat. Kalau bolo\xe2\x80\xa6'"
KevLeo94,2019-03-20 04:45:30,b'@midogumelar Taek kon yo mari loro'
KevLeo94,2019-03-20 04:37:40,"b'Lagi sibuk""e malah tumbang 2 hari. Smoga tidak berlajut tumbangnya'"
KevLeo94,2019-03-20 04:36:57,"b'RT @P3nj3l4j4h: Toleransi tidak mengenal Perbedaan suku , ras ,agama lihat video warga New Zealand yg menjaga warga muslim yg sedang Shalat\xe2\x80\xa6'"
KevLeo94,2019-03-20 04:36:11,b'RT @nurhadi_aldo: Keadilan sosial bagi seluruh rakyat Indonesia tidak berlaku bagi buruh yg menuntut haknya. Oleh karena itu Nurhadi Aldo h\xe2\x80\xa6'
KevLeo94,2019-03-19 03:18:43,"b'RT @midogumelar: ehmmmm, dulu tugas akhir pake embel embel IoT, berati labku sudah mendahuluinya ? hahaha https://t.co/chPP5NPE3c'"
KevLeo94,2019-03-17 07:14:30,"b'RT @nurhadi_aldo: i see human, but no humanity https://t.co/GHlHdAn4vx'"
KevLeo94,2019-03-17 07:13:13,b'RT @harlianstd: @Edwintimses10 @nurhadi_aldo Buat Nurhadi yang sudah ga netral !!! https://t.co/YLZo2BMw7L'
KevLeo94,2019-03-17 07:12:26,"b'RT @Edwintimses10: Pakde Nurhadi boleh punya pilihan, namun kami tetap netral. Buat para pendukung 01 semakin kalian menggoreng isu ini jun\xe2\x80\xa6'"
KevLeo94,2019-03-17 07:10:51,"b'RT @nurhadi_aldo: Mohon jangan membuat kontrasepsi, saya masih netral, beliau pak @jokowi hanya meminta selfie dengan saya. Itu saja. Trmks\xe2\x80\xa6'"
KevLeo94,2019-03-17 07:09:44,b'RT @nurhadi_aldo: Lingkungan kami dicemari apakah salah jika kami menuntut hak kami mendapatkan lingkungan yg bersih dan sehat? Ucap warga\xe2\x80\xa6'
KevLeo94,2019-03-17 07:09:33,b'RT @KoRnHurry: Lihat Cangkruk annya bu @susipudjiastuti dg para Nelayan ini mirip bu Lurah ngobrol dg Warganya padahal bliu Menteri lho.. \xf0\x9f\x98\x81\xe2\x80\xa6'
KevLeo94,2019-03-17 07:09:07,b'RT @PERSIPURA_: Mohon dukungan doa dari saudara setanah Air untuk musibah banjir bandang yang baru saja menerjang wilayah Kabupaten Jayapur\xe2\x80\xa6'
KevLeo94,2019-03-17 07:08:45,b'RT @WatchmenID: BANGSAT JUGA INI IKLAN MAYASI \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\nSource: https://t.co/LSqdV2yQei https://t.co/jzLuuLcbmn'
KevLeo94,2019-03-17 07:05:58,b'RT @ASapardan: Yg laki-laki normal gak bakalan bahas puting prabowo.\n\nNggilani\xf0\x9f\x98\x9e https://t.co/H1AXKq8F2E'
KevLeo94,2019-03-17 07:05:06,"b'RT @Mentimoen: Ya ampun mak, cara kampanye jaman sekarang, kok segitu amet? Ga malu2 pasang baliho besar2 untuk merendahkan lawan... https:\xe2\x80\xa6'"
KevLeo94,2019-03-17 05:45:53,b'RT @nurhadi_aldo: Beginilah para satwa dalam menggiring isu kemarin dsb. Padhal sudah kami jelaskan sebelumnya bahwa pakde Nurhadi hanya se\xe2\x80\xa6'
KevLeo94,2019-03-15 13:07:23,b'RT @nurhadi_aldo: fanatisme yang disertai kebodohan memang selalu membawa korban. turut berduka atas insiden yanh menewaskan 40 orang di ne\xe2\x80\xa6'
