Time,Temperature,Moisture,Rainfall%
00:00,19,95%,30%
03:00,18,95%,20%
06:00,18,94%,20%
09:00,20,88%,20%
12:00,23,82%,20%
15:00,22,82%,10%
18:00,21,85%,20%
21:00,20,94%,10%
00:00,19,96%,10%
03:00,19,95%,
06:00,18,93%,
09:00,21,84%,
12:00,24,74%,
15:00,24,77%,
18:00,22,87%,
21:00,20,94%,
00:00,20,97%,
